Day of adulthood,,Treatment
15,1,DG5EV
15,1,DG5EV
15,1,DG5EV
15,1,DG5EV
15,1,DG5EV
15,1,DG5EV
15,1,DG5EV
16,0,DG5EV
16,0,DG5EV
16,1,DG5EV
16,1,DG5EV
16,1,DG5EV
16,1,DG5EV
16,1,DG5EV
16,1,DG5EV
16,1,DG5EV
16,1,DG5EV
16,1,DG5EV
16,1,DG5EV
16,1,DG5EV
16,1,DG5EV
16,1,DG5EV
17,1,DG5EV
17,1,DG5EV
17,1,DG5EV
17,1,DG5EV
17,1,DG5EV
18,1,DG5EV
18,1,DG5EV
18,1,DG5EV
18,1,DG5EV
18,1,DG5EV
18,1,DG5EV
18,1,DG5EV
19,1,DG5EV
19,1,DG5EV
19,1,DG5EV
19,1,DG5EV
19,1,DG5EV
19,1,DG5EV
19,1,DG5EV
19,1,DG5EV
20,1,DG5EV
20,1,DG5EV
20,1,DG5EV
21,0,DG5EV
21,1,DG5EV
22,0,DG5EV
22,1,DG5EV
22,1,DG5EV
23,1,DG5EV
23,1,DG5EV
24,1,DG5EV
4,0,DG11EV
4,0,DG11EV
4,0,DG11EV
4,0,DG11EV
4,0,DG11EV
4,0,DG11EV
7,0,DG11EV
7,0,DG11EV
7,0,DG11EV
7,0,DG11EV
7,0,DG11EV
7,0,DG11EV
7,0,DG11EV
7,0,DG11EV
7,0,DG11EV
7,0,DG11EV
7,0,DG11EV
7,0,DG11EV
7,0,DG11EV
9,0,DG11EV
9,0,DG11EV
9,0,DG11EV
9,0,DG11EV
9,1,DG11EV
9,1,DG11EV
10,0,DG11EV
10,1,DG11EV
10,1,DG11EV
11,1,DG11EV
11,1,DG11EV
11,1,DG11EV
11,1,DG11EV
11,1,DG11EV
11,1,DG11EV
14,0,DG11EV
14,0,DG11EV
14,0,DG11EV
14,0,DG11EV
14,0,DG11EV
14,0,DG11EV
14,0,DG11EV
14,0,DG11EV
14,0,DG11EV
14,0,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
14,1,DG11EV
16,0,DG11EV
16,1,DG11EV
16,1,DG11EV
16,1,DG11EV
16,1,DG11EV
18,0,DG11EV
18,0,DG11EV
18,0,DG11EV
18,0,DG11EV
18,0,DG11EV
18,0,DG11EV
18,0,DG11EV
18,0,DG11EV
18,1,DG11EV
18,1,DG11EV
18,1,DG11EV
18,1,DG11EV
18,1,DG11EV
21,0,DG11EV
21,1,DG11EV
21,1,DG11EV
21,1,DG11EV
21,1,DG11EV
21,1,DG11EV
21,1,DG11EV
21,1,DG11EV
21,1,DG11EV
21,1,DG11EV
21,1,DG11EV
21,1,DG11EV
23,0,DG11EV
23,1,DG11EV
23,1,DG11EV
23,1,DG11EV
23,1,DG11EV
23,1,DG11EV
23,1,DG11EV
23,1,DG11EV
25,1,DG11EV
25,1,DG11EV
25,1,DG11EV
25,1,DG11EV
25,1,DG11EV
25,1,DG11EV
25,1,DG11EV
25,1,DG11EV
25,1,DG11EV
28,1,DG11EV
28,1,DG11EV
28,1,DG11EV
28,1,DG11EV
28,1,DG11EV
28,1,DG11EV
30,1,DG11EV
30,1,DG11EV
30,1,DG11EV
33,0,DG11EV
33,1,DG11EV
4,0,DG11Unc-84
4,0,DG11Unc-84
4,0,DG11Unc-84
4,0,DG11Unc-84
4,0,DG11Unc-84
4,0,DG11Unc-84
4,0,DG11Unc-84
4,0,DG11Unc-84
4,0,DG11Unc-84
4,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,0,DG11Unc-84
7,1,DG11Unc-84
9,0,DG11Unc-84
9,0,DG11Unc-84
9,0,DG11Unc-84
9,0,DG11Unc-84
10,1,DG11Unc-84
10,1,DG11Unc-84
10,1,DG11Unc-84
10,1,DG11Unc-84
11,1,DG11Unc-84
11,1,DG11Unc-84
11,1,DG11Unc-84
14,0,DG11Unc-84
14,1,DG11Unc-84
14,1,DG11Unc-84
14,1,DG11Unc-84
14,1,DG11Unc-84
14,1,DG11Unc-84
14,1,DG11Unc-84
