Day of adulthood,Status,Treatment
5,1,tbx-37/-38
7,1,tbx-37/-38
7,1,tbx-37/-38
7,1,tbx-37/-38
7,1,tbx-37/-38
7,1,tbx-37/-38
7,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
8,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
9,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
10,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
11,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,1,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
12,0,tbx-37/-38
4,1,tbx-39/-40
5,1,tbx-39/-40
5,1,tbx-39/-40
5,1,tbx-39/-40
5,1,tbx-39/-40
7,1,tbx-39/-40
7,1,tbx-39/-40
7,1,tbx-39/-40
7,1,tbx-39/-40
7,1,tbx-39/-40
7,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
8,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
9,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
10,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
11,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,1,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
12,0,tbx-39/-40
4,1,cul-6
4,1,cul-6
5,1,cul-6
5,1,cul-6
5,1,cul-6
7,1,cul-6
7,1,cul-6
7,1,cul-6
7,1,cul-6
7,1,cul-6
7,1,cul-6
8,1,cul-6
8,1,cul-6
8,1,cul-6
8,1,cul-6
8,1,cul-6
8,1,cul-6
8,1,cul-6
8,1,cul-6
9,1,cul-6
9,1,cul-6
9,1,cul-6
9,1,cul-6
9,1,cul-6
9,1,cul-6
9,1,cul-6
9,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
10,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
11,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,1,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
12,0,cul-6
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
3,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
4,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
5,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
7,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
8,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
9,1,cul-1 E3
10,1,cul-1 E3
10,1,cul-1 E3
10,1,cul-1 E3
10,1,cul-1 E3
10,1,cul-1 E3
